business_name,project_name,project_category,strategic_value_level,kpi_number,kpi_category,kpi_name,kpi_support_description,kpi_measurement_approach,kpi_target,kpi_actual,kpi_delta,kpi_notes
ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Audit Frequency and Results,Validate ClubWise Evolution New Joining Module sales performance,Run at least weekly with output shared with AF AU master franchisor and Purpose Brands,0,0,0,
ClubWise,Day Zero Sale - Joiners Dashboard,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Data Accessibility (Time to Data Access),"AI Dashboard removed requirement for direct access of ClubWise production system in periods of heavy load, impriving system performance and speed of data delivery",System performance in ms 50% faster than ClubWise Dashboard in production,1,0,-1,
ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,Data Accessibility (Time to Data Access),Demostrates ClubWise customer facing AI product capabilities,POC product embedded in the ClubWise live environment in 5 ClubWise Beta clubs by end of May 2026,5,0,-5,
ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,New AI-enabled Products/Features,Active customer use of native language reporting capabilities - competitors do not currently have such functionality in their platforms,Number of prompts used in new Dashboard (per client).,50,0,-50,
ClubWise,Insights Plus Module,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,Revenue Growth from AI-enhanced products,Enhances existing ClubWise Dashboard to create an AI powered sellable module which can be upsold to exisitng clients.,Number of upsold Insights Modules in 2026.  Target at least 30 paying customers by year end,30,0,-30,
ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Throughput,Reduction in the volume of cases per support agent,Case % handled by Support Agent vs employees from Salesforce (target 20% of cases handed by agent),0,0,0,
ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Time Savings / Resolution Time Reduction,Improves SLT scores for response and resolve metrics,Salesforce Reporting improvements in average time to respond and resolve,5,0,-5,
ClubWise,AI Support Agent,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Employee Productivity Gains,"Encourages use of AI support tools to improve the customer experience, enhance knowledge base tools and reduce time spent on repetitive support taks to focus on customer engagement and added value",Reduction in how to cases managed by Customer Success staff by 20% (via Salesforce),0,0,0,
ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Process Cycle Time Reduction,Reduces time to complete data migration work for club on-boarding,50% reduction in cycle time for data migration process,0,0,0,
ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Employee Productivity Gains,Increased capacity for inboarding of clubs,Reductioin of average time to onboard a club with a data migration requirement of 30%,0,0,0,
ClubWise,Data migration process improvements,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Cost Savings,Reduced effort required to onboard clubs,Number of hours returned to the team resulting in operational efficiencies (TBD),0,0,0,
Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee AI Tool Adoption Rate,16 Developers,All 16 developers to have Claude Code.,16,1,-15,
Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Throughput,30% Increase in Throughput,Measuring kanban board KPI's.  Would expect a 30% increase in PBI throughput,30,30,0,
Jonas Fitness Inc,Claude Code Internal to all developers,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Employee AI Tool Adoption Rate,6 Sales FTE to have access to the tool and be trained on how to use it for administrative functions.,Confirm all 6 have access.,6,1,-5,
Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Employee Productivity Gains,"ChatGPT helps improve accuracy and saves considerable time by automating billing statement comparisons, answering contract questions, and drafting RFP documents.",Track time for completion of projects with a 20% increase in time goal.,20,5,-15,
Jonas Fitness Inc,Sales Team Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Successful Adaptation to New Use Cases,"Where applicable, give access to Enterprise Chat GPT to teams to help them with day to day functions.","First step is to measure use cases and the ability to solve them using AI with a goal of one use case identitifed and solved per month, 3 a quarter or .20 a week.",20,20,0,
Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Error Rate Reduction,Quickly generates KPI calculations not auto-generated from other tools or that will take time to develop and allows us to report more accurately apples to apples across business units. Reduces manual Excel errors. Allows training team to help compare data or help with billing.,"Tracking case efficiency, turnaround time, and other support metrics that should improve as the use of these tools are better understood.  Aim to reduce errors in reconcilation cases by 20%.",20,10,-10,
Jonas Fitness Inc,Operations/Maintenance Enterprise ChatGPT,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,Audit Frequency and Results,Provides customers with accurate information when asked from within the Compete application.,80% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.,80,60,-20,
Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,Consistency Scores,Provides quick and easy access to customer questions and saves them time by not having to call into the call center for assitance.,"Comparision of the number of calls routed to support and metrics around the use of the tool, inital goal of 20% routed to support.",20,0,-20,
Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Audit Frequency and Results,Provides customers with accurate information when asked from within the Compete application.,20% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.,20,0,-20,
Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,"Customer Satisfaction Scores (CSAT, NPS)",Provides quick and easy access to customer questions and saves time by not having to call into the call center for assistance. Increases customer satisfaction for more immediate answers and allows less wait time for more in depth questions with an agent.,Comparison of the number of calls routed to support and metrics around the use of the tool with 20% reduction in in person support needed.,20,0,-20,
Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,# of Customers using the AI,Customers will be able to access the Front Desk in the traditional fashion but have the ability to flip to the traditional UI which will allow them to gradually get used to the new front desk.,"Usage metrics in the front desk of # of users accessing and using the new interface, goal of 20% usage.",20,0,-20,
Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,"Customer Satisfaction Scores (CSAT, NPS)",Usage of the new AI feature will address feedback from clients that our FD is too cubersome and involved too many clicks.,Customer feedback in focus groups and NPS surveys with satisfaction score increase of 20%.,20,0,-20,
Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,.... Select the primary KPI (Jonas Library),,,0,0,0,
Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,# of Customers using the AI,Usage of the new AI feature will address feedback from clients that our FD is too cubersome and involved too many clicks.,Usage metrics in the front desk of # of users accessing and using the new interface.  Goal of 20%.,20,0,-20,
Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Revenue Growth from AI-enhanced products,"Increase client satisfaction with our product and in turn, reduce attrition.","Attrition metrics comparision, goal of $100K less attrition.",100,0,-100,
Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,# of Customers using the AI,"Our billing intelligence tool will analyze patterns in billing, usage, and customer payment behaviors and will allow our clients to develop unique pricing models (e.g., usage-based, outcome-based, or predictive pricing) and make business decisions based on actual member data.","Evaluate performance through an audit of customer adoption rates, including sign-ups and active usage following the tool’s release, goal of 20% adoption.",20,0,-20,
Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,"Customer Satisfaction Scores (CSAT, NPS)","Our tool will allow our customers to forecast future revenue streams, customer churn risk, and payment delays.  Our competitors are reactive, predictive intelligence will position JFI as proactive and data-driven.",Feedback cycles with our Product Owner and NPS surveys of our customers of 20% increase in Satification.,20,0,-20,
Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,Revenue Growth from AI-enhanced products,The tool will be sold as a seperate module and will be available to both our existing base and new customers.,"Quarterly/Monthly sales figures.  Increase of $200K in 2027,  $300K in 2028, $500K in 2029.",0,0,0,
Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Employee AI Tool Adoption Rate,1 marketing resource to have access and use the tool.,"Ensure resource has the tool, has been trained and then tracking progress on usage.",0,0,0,
Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Employee Productivity Gains,"Automation Reduces Manual Labor, employee currently spends significant time: Writing and scheduling social posts, formatting and sending emails and updating or maintaining blog content.  By automating these repetitive tasks, the AI tool allows employees to focus on strategic, creative, and revenue-generating activities, rather than administrative or time-consuming posting duties. This directly translates into measurable productivity gains—more output with fewer hours.",Conduct time audits to log time spent on marketing activities before and after the adoption of the tool.,0,0,0,
Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,Conversion Rates from AI-powered features,"If successful, the amount of leads and or impressions from our posts, emails and texts will increase.","Meaure number of impressions, clicks and or responses to our campaigns.",0,0,0,
Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,Simple Tool,1,Adoption Rate,Data Quality Score (Valid-data ratio),Leads will be passed to our sales team and be qualifed as valid based on the type of product we sell.,"Measure the amount of leads received compared to how many are valid, qualified leads.",0,0,0,
Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,Simple Tool,2,Productivity Gains,Conversion Rates from AI-powered features,More qualified leads will lead to more sales and higher conversion rates.,Compare our converstion rate from before the use of the tool to after the use of the tool.  Conversion rate of number of demos completed to number of sales completed.,0,0,0,
Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,Simple Tool,3,Cost Savings,Cost Savings,Saves time for our sales team to focus on more sales activities vs. lead generation activities.,Number of sales compared to number of leads generated and our conversion rate.,0,0,0,
EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,# of Customers using the AI,The Advanced Email Campaigns offering improves value perception and closes competitive gaps in the sports and fitness industries. Having the module integrated and enabled eliminates the need for clients to have a separate email marketing solution (often at an added cost).,Total # of clients with the Advanced Email Campaigns module enabled.,186,186,0,
EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,% of Customers using the AI,"For those who have the module enabled, greater adoption and usage of the Advanced Email Campaigns module strengthens loyalty and creates additional barriers to switching.",% of clients with Advanced Email Campaigns enabled who are actively using the module.,28,28,0,
EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,Revenue Growth from AI-enhanced products,Advanced Email Campaigns is sold as an upsell (to a higher-tier product bundle) or add-on.,Total ARR sold in USD. (Excludes revenue from product bundles that include Advanced Email Campaigns to avoid overlap with other initiatives.),10176,10176,0,
EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee AI Tool Adoption Rate,Ensuring that the support staff is using the new tools that are available will confirm that we are getting the best value out of the added features.,"Zendesk tracks the number of tickets that make use of the AI tools.  We will use this to track adoption of the features as they are added.  We will start small and increase the number as additional features are set up and activated. For October 2025, we are only using the summary and writing tools.",5,1,-4,
EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Time Savings / Resolution Time Reduction,"Use of intelligent triage and AI suggested macros will enable the support team to reply to issues quicker, reducing overall time to resolve for tickets.",The metric 'Average time to resolve (business hours)' will be tracked for support tickets thru Zendesk Analytics.  The target will be to have the monthly average less than 24 business hours (3 business days),24,25.7,1.7,
EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,,,,0,0,0,
EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee Productivity Gains,"With AI resolving basic support requests, support team members will be able to focus on higher-value customer tickets, tasks, and troubleshooting.","Once AI Agents are live, we will use Zendesk Analytics to track the percentage of chats that are transferred to a live agent. In Oct 2025, 46% of chats were transferred to a live agent. The goal will be to reduce this to 25% within 12 months after launching Copilot.",45,48,3,
EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Automation Rate,AI agents should increase the number of issues that customers can self-solve.,"Zendesk tracks the tickets that customers mark as self-solved, so we will use this metric to track improvements.  In October 2025, we had 0% self-solved issues reported. Within 9 months of launching the AI Agent, we aim to increase this to 7%.",0,0,0,
EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,,,,0,0,0,
EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,Conversion Rates from AI-powered features,Provides intuitive AI-powered scheduling tools that encourage adoption. AI optimizer reduces manual scheduling effort while natural language editor lowers technical barrier to schedule management.,"Track % of users who adopt AI scheduling vs manual methods. Measure AI feature usage vs total scheduling operations. Target: 30% adoption by end of Q2 2026, 60% by Q3, 80%+ by Q4.",0,0,0,"% adoption based on EZFacility customer research: July peak (soccer fall + hockey dual crunch), spring pilot during baseball crunch, summer lull, Q4 in-season dip. Target: 65-70% by year-end. This is based on standard web search, not our actual data."
EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Time Savings / Resolution Time Reduction,"AI automates complex scheduling decisions, conflict detection, and schedule optimization. Reduces time spent on manual schedule creation and conflict resolution by intelligently suggesting optimal schedules.",Compare time spent before/after AI adoption per facility. Track average schedule creation time reduction. Target: 40% reduction in schedule creation time (hours saved).,0,0,0,"% time reduction based on schedule complexity research: Baseball spring (25-30%), summer camps (32%), soccer/hockey multi-league fall (50-55% peak). AI provides most value on complex resource-constrained schedules. This is based on standard web search, not our actual data."
EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Revenue Growth from AI-enhanced products,AI features provide competitive differentiation and customer value. Enables premium pricing for AI-enhanced plans. Improves customer retention through time-saving automation.,"Track upgrades to AI-enabled plans, customer retention improvements, and new customer acquisition attributed to AI features. Monitor revenue increase from AI-enhanced product tiers.",0,0,0,"% revenue increase follows value realization lag: upgrades occur AFTER crunch periods (Apr post-baseball, Aug post-soccer/hockey), peak Sep-Oct when ROI visible during season, strong Nov-Dec year-end renewals. This is based on standard web search, not our actual data."
EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Time Savings / Resolution Time Reduction,"By automating routine processes in Salesforce, we’ll streamline workflows, reduce manual input, and enhance the accuracy and reliability of our data across teams.","Total # of active automations.  We currently have 23 automations in place, with an additional 40 planned for completion by the end of Q2 2026.",23,23,0,
EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Data Accessibility (Time to Data Access),"Will reduce the amount of time spent manually researching accounts, identifying specific risks along with professional service and upsell opportunities.  The time saved through automation and AI insights will also drive higher levels of targeted outbound activity.","Weekly customer proactive touchpoints (emails, calls, and meetings).  Our goal is to raise weekly outreach from an average of 59 to 78 unique accounts, expanding our engagement reach and pipeline potential by the end of April 2026.",59,60,1,
EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Employee Productivity Gains,"The productivity gains will enable each Account Manager to effectively manage a larger customer base without increasing workload or risk of burnout, ensuring scalable growth and sustained service quality.",Weekly tasks completed.  We currently complete an average of 155 account-related tasks per week and aim to increase that rate to 232 by the end of Q2 2026.,155,186,31,
Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee AI Tool Adoption Rate,The solution will enable customer support resources to concentrate their time to work on more complex problems which will driver more job satisfaction.,"Staff Satisfaction surveys will be conducted as we introduce the Agent and train it to work on, first, Low-IP tasks, and provide copilot support to the support representatives. WE CURRENTLY DO NOT HAVE A BASELINE. THIS WILL BE CONDUCTED PRIOR TO GOING LIVE WITH THE AGENT. IMPROVEMENT GOAL TBD.",0,0,0,KPI Baselines TBD
Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,"Customer Satisfaction Scores (CSAT, NPS)","If the Agent is able to respond quickly and accurately 24x7 to these requests customers should be very happy with this increases speed of response. Additionally, as tickets occur, support staff will have more time to focus on delivering exceptional responses to customers to address their issues.",We will track calls / Agent v calls / Rep and we will ask all callers working with the Agent to leave a short feedback note/rating to determine if this improves their perception of the service. Additonally our normal CSAT surveys will continue.,0,0,0,KPI Baselines TBD
Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Time Savings / Resolution Time Reduction,Shifting low-IP tasks to an Agent will allow us to free up skilled representatives to spend more time on customers and tickets that need specialist attention. Our service capacity will grow faster than OPEX and drive improvements to our MR.,"Ticket count satisfactorily closed by Agent / Rep will be measures alongside the ticket count / costs to identify if the two are closely correlated. MR to increase from 5.2 to 7 by Q2 2026, equivelent to $<need amount> OPEX saving.",0,0,0,$$$ TDB
Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,1,Integration Depth,Automation Rate,"Expands AI use across core workflows to automate manual tasks, increasing efficiency, scalability, and consistency.","% of workflow steps automated, reduction in manual hours, and # of automated workflows deployed.
Target: ≥30% automation in priority processes within 12 months.",30,0,-30,KPI Baselines TBD
Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,2,Process Improvement,Process Cycle Time Reduction,"Uses AI to streamline processes, reduce hand-offs, and accelerate decision-making, resulting in faster delivery and operational efficiency.","Pre vs. post cycle time, % reduction achieved, and # of processes with ≥20% improvement.
Target: 25–40% cycle time reduction in Year 1.",40,0,-40,KPI Baselines TBD
Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,3,Skills Development,Employee AI Tool Adoption Rate,"Builds AI skills and confidence through training, guided use cases, and hands-on practice to increase workforce adoption.","% of employees actively using approved AI tools, training completion rates, and usage frequency.
Target: ≥60% adoption across eligible roles within 12 months.",60,0,-60,KPI Baselines TBD
Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,1,Market Differentiation,New AI-enabled Products/Features,"Delivers a net-new AI capability that does not exist in our product today, enhancing customer value and market positioning.","Feature activation rate (% of eligible users who begin using this feature).
Target: ≥50% activation within 90 days of launch.",50,0,-50,KPI Baselines TBD
Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,2,Competitive Advantage,Successful Adaptation to New Use Cases,"Delivers adaptable AI capabilities that scale to new use cases and functions, strengthening our competitive position.","Time required to expand this feature to a new use case.
Target: ≤10 days to deliver the first expansion use case.",10,0,-10,KPI Baselines TBD
Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,Customer Feature - New,3,Revenue Impact,Conversion Rates from AI-powered features,Uses AI-driven insights and recommendations to drive higher-value customer actions and improve business outcomes.,"Conversion rate lift attributable to this feature vs. pre-launch baseline.
Target: 10–20% uplift within 6–12 months.",10,0,-10,KPI Baselines TBD
Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,1,Integration Depth,Employee AI Tool Adoption Rate,Embeds Claude Code into the engineering workflow to increase daily AI-assisted development and code acceleration.,"% of R&D team actively using Claude Code weekly.
Target: ≥75% weekly active use within 90 days.",0,0,0,
Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,2,Process Improvement,Time Savings / Resolution Time Reduction,"Reduces time spent on coding, debugging, and reviews by using Claude Code to accelerate development tasks.","Average time saved per task vs. baseline.
Target: ≥30% reduction in time to complete common dev tasks within 6 months.",0,0,0,
Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Complex Tool,3,Skills Development,Employee Productivity Gains,"Improves developer efficiency and output quality through AI-assisted coding, leading to higher productivity per engineer.","Increase in completed story points or tasks per developer.
Target: 15–25% gain in output within 6 months.",0,0,0,
Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,1,Customer Adoption,Conversion Rates from AI-powered features,"Automates complex bunk pairing, removing friction and driving customer uptake.","Metric: % of eligible customers who enable/use the feature.
Target: ≥60% within 6 months.",60,0,-60,
Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,2,Usage Metrics,Throughput,"Enables high-volume, repeatable pairing runs through AI automation.","Metric: Avg. # of AI pairing runs per customer per month.
Target: ≥3 per month per active customer.",3,0,-3,
Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,Customer Feature - Existing,3,Revenue Impact,Revenue Growth from AI-enhanced products,Introduces a premium AI-driven feature that expands monetization opportunities and generates new recurring revenue for Campsite.,"ARR attributed to this feature.
Target: $___ ARR within 12 months of launch.",0,0,0,
Campsite,Demo Generator,L3.  AI-powered internal business process improvements,Internal Process,1,Employee Satisfaction,Employee Productivity Gains,"Reduces manual effort and prep time for demo creation, improving workload balance and employee satisfaction.","Increase in demos produced per employee.
Target: ≥30% increase within 6 months.",30,0,-30,
Campsite,Demo Generator,L3.  AI-powered internal business process improvements,Internal Process,2,Productivity Gains,Time Savings / Resolution Time Reduction,"Automates demo generation tasks, accelerating turnaround time for custom demos and speeding up sales cycles.","Reduction in time required to create a customized demo.
Target: ≥50% reduction within 3 months of rollout.",50,0,-50,
Campsite,Demo Generator,L3.  AI-powered internal business process improvements,Internal Process,3,Cost Savings,Cost Savings,"Cuts labor hours spent building custom demos, reducing personnel and operational costs tied to pre-sales activities.","Estimated annual labor cost saved based on hours reduced.
Target: ≥$___ in annual savings.",0,0,0,
