kpi_category,measurement_approach,business_name,project_name,project_category,support_description,support_quality_score,support_quality_category,measurement_quality_score,measurement_quality_category,support_has_metric,support_has_timeframe,measurement_has_metric,measurement_has_timeframe,support_word_count,measurement_word_count
Competitive Advantage,"Comparision of the number of calls routed to support and metrics around the use of the tool, inital goal of 20% routed to support.",Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,Provides quick and easy access to customer questions and saves them time by not having to call into the call center for assitance.,5,Fair,6,Good,TRUE,FALSE,TRUE,FALSE,23,24
Revenue Impact,,Jonas Fitness Inc,IRIS Chat Bot,L5.  Entirely new product capabilities powered by AI,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Employee Satisfaction,20% of correct answers and cases that result from a customer being routed from the chat bot to the call center for additional help.,Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,Provides customers with accurate information when asked from within the Compete application.,3,Poor,5,Fair,TRUE,FALSE,TRUE,FALSE,12,24
Productivity Gains,Comparison of the number of calls routed to support and metrics around the use of the tool with 20% reduction in in person support needed.,Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,Provides quick and easy access to customer questions and saves time by not having to call into the call center for assistance. Increases customer satisfaction for more immediate answers and allows less wait time for more in depth questions with an agent.,6,Good,7,Good,TRUE,FALSE,TRUE,TRUE,42,25
Cost Savings,,Jonas Fitness Inc,"IRIS 2.0, IRIS with Voice",L3.  AI-powered internal business process improvements,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Customer Adoption,"Usage metrics in the front desk of # of users accessing and using the new interface, goal of 20% usage.",Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,Customers will be able to access the Front Desk in the traditional fashion but have the ability to flip to the traditional UI which will allow them to gradually get used to the new front desk.,2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,36,20
Usage Metrics,Customer feedback in focus groups and NPS surveys with satisfaction score increase of 20%.,Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,Usage of the new AI feature will address feedback from clients that our FD is too cubersome and involved too many clicks.,2,Poor,4,Fair,FALSE,FALSE,TRUE,FALSE,22,14
Revenue Impact,,Jonas Fitness Inc,Compete AI Project: Phase I - Front Desk Redesign,L4.  Using AI to enhance existing customer-facing products,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Customer Adoption,,Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Usage Metrics,Usage metrics in the front desk of # of users accessing and using the new interface.  Goal of 20%.,Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,Usage of the new AI feature will address feedback from clients that our FD is too cubersome and involved too many clicks.,2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,22,19
Revenue Impact,"Attrition metrics comparision, goal of $100K less attrition.",Jonas Fitness Inc,"Compete AI Project Phase II: Front Desk Redesign, use of APIs to appear as a web-based product.",L4.  Using AI to enhance existing customer-facing products,"Increase client satisfaction with our product and in turn, reduce attrition.",1,Very Poor,1,Very Poor,FALSE,FALSE,FALSE,FALSE,11,8
Market Differentiation,"Evaluate performance through an audit of customer adoption rates, including sign-ups and active usage following the tool’s release, goal of 20% adoption.",Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,"Our billing intelligence tool will analyze patterns in billing, usage, and customer payment behaviors and will allow our clients to develop unique pricing models (e.g., usage-based, outcome-based, or predictive pricing) and make business decisions based on actual member data.",2,Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,39,22
Competitive Advantage,Feedback cycles with our Product Owner and NPS surveys of our customers of 20% increase in Satification.,Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,"Our tool will allow our customers to forecast future revenue streams, customer churn risk, and payment delays.  Our competitors are reactive, predictive intelligence will position JFI as proactive and data-driven.",5,Fair,6,Good,TRUE,FALSE,TRUE,FALSE,30,17
Revenue Impact,"Quarterly/Monthly sales figures.  Increase of $200K in 2027,  $300K in 2028, $500K in 2029.",Jonas Fitness Inc,Compete AI Project Phase III: Billing Analytic Tool,L5.  Entirely new product capabilities powered by AI,The tool will be sold as a seperate module and will be available to both our existing base and new customers.,7,Good,3,Poor,TRUE,TRUE,FALSE,TRUE,21,14
Adoption Rate,"Ensure resource has the tool, has been trained and then tracking progress on usage.",Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,1 marketing resource to have access and use the tool.,0,Very Poor,0,Very Poor,FALSE,FALSE,FALSE,FALSE,10,14
Productivity Gains,Conduct time audits to log time spent on marketing activities before and after the adoption of the tool.,Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,"Automation Reduces Manual Labor, employee currently spends significant time: Writing and scheduling social posts, formatting and sending emails and updating or maintaining blog content.  By automating these repetitive tasks, the AI tool allows employees to focus on strategic, creative, and revenue-generating activities, rather than administrative or time-consuming posting duties. This directly translates into measurable productivity gains—more output with fewer hours.",8,Excellent,7,Good,TRUE,FALSE,TRUE,FALSE,60,18
Cost Savings,"Meaure number of impressions, clicks and or responses to our campaigns.",Jonas Fitness Inc,AI Client/Marketing Communication Tool,L1. Using external AI tools for basic internal productivity,"If successful, the amount of leads and or impressions from our posts, emails and texts will increase.",3,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,17,11
Adoption Rate,"Measure the amount of leads received compared to how many are valid, qualified leads.",Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,Leads will be passed to our sales team and be qualifed as valid based on the type of product we sell.,2,Poor,0,Very Poor,FALSE,FALSE,FALSE,FALSE,21,14
Productivity Gains,Compare our converstion rate from before the use of the tool to after the use of the tool.  Conversion rate of number of demos completed to number of sales completed.,Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,More qualified leads will lead to more sales and higher conversion rates.,3,Poor,7,Good,TRUE,FALSE,TRUE,FALSE,12,30
Cost Savings,Number of sales compared to number of leads generated and our conversion rate.,Jonas Fitness Inc,AI Tool for Lead Generation and Qualification,L1. Using external AI tools for basic internal productivity,Saves time for our sales team to focus on more sales activities vs. lead generation activities.,5,Fair,3,Poor,TRUE,FALSE,TRUE,FALSE,16,13
Market Differentiation,Total # of clients with the Advanced Email Campaigns module enabled.,EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,The Advanced Email Campaigns offering improves value perception and closes competitive gaps in the sports and fitness industries. Having the module integrated and enabled eliminates the need for clients to have a separate email marketing solution (often at an added cost).,8,Excellent,0,Very Poor,TRUE,TRUE,FALSE,FALSE,41,11
Competitive Advantage,% of clients with Advanced Email Campaigns enabled who are actively using the module.,EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,"For those who have the module enabled, greater adoption and usage of the Advanced Email Campaigns module strengthens loyalty and creates additional barriers to switching.",2,Poor,3,Poor,FALSE,FALSE,TRUE,FALSE,25,14
Revenue Impact,Total ARR sold in USD. (Excludes revenue from product bundles that include Advanced Email Campaigns to avoid overlap with other initiatives.),EZ_Facility,Advanced Email Campaigns,L5.  Entirely new product capabilities powered by AI,Advanced Email Campaigns is sold as an upsell (to a higher-tier product bundle) or add-on.,0,Very Poor,5,Fair,FALSE,FALSE,TRUE,FALSE,15,21
Employee Satisfaction,"Zendesk tracks the number of tickets that make use of the AI tools.  We will use this to track adoption of the features as they are added.  We will start small and increase the number as additional features are set up and activated. For October 2025, we are only using the summary and writing tools.",EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,Ensuring that the support staff is using the new tools that are available will confirm that we are getting the best value out of the added features.,2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,27,55
Productivity Gains,The metric 'Average time to resolve (business hours)' will be tracked for support tickets thru Zendesk Analytics.  The target will be to have the monthly average less than 24 business hours (3 business days),EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,"Use of intelligent triage and AI suggested macros will enable the support team to reply to issues quicker, reducing overall time to resolve for tickets.",5,Fair,8,Excellent,TRUE,FALSE,TRUE,TRUE,25,34
Cost Savings,,EZ_Facility,Advanced Email Campaigns,L3.  AI-powered internal business process improvements,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Employee Satisfaction,"Once AI Agents are live, we will use Zendesk Analytics to track the percentage of chats that are transferred to a live agent. In Oct 2025, 46% of chats were transferred to a live agent. The goal will be to reduce this to 25% within 12 months after launching Copilot.",EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,"With AI resolving basic support requests, support team members will be able to focus on higher-value customer tickets, tasks, and troubleshooting.",2,Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,21,50
Productivity Gains,"Zendesk tracks the tickets that customers mark as self-solved, so we will use this metric to track improvements.  In October 2025, we had 0% self-solved issues reported. Within 9 months of launching the AI Agent, we aim to increase this to 7%.",EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,AI agents should increase the number of issues that customers can self-solve.,4,Fair,8,Excellent,TRUE,FALSE,TRUE,TRUE,12,42
Cost Savings,,EZ_Facility,Advanced AI Chat Support (via Zendesk Advanced AI Agent),L3.  AI-powered internal business process improvements,,0,Empty,0,Empty,FALSE,FALSE,FALSE,FALSE,0,0
Customer Adoption,"Track % of users who adopt AI scheduling vs manual methods. Measure AI feature usage vs total scheduling operations. Target: 30% adoption by end of Q2 2026, 60% by Q3, 80%+ by Q4.",EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,Provides intuitive AI-powered scheduling tools that encourage adoption. AI optimizer reduces manual scheduling effort while natural language editor lowers technical barrier to schedule management.,3,Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,24,33
Usage Metrics,Compare time spent before/after AI adoption per facility. Track average schedule creation time reduction. Target: 40% reduction in schedule creation time (hours saved).,EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,"AI automates complex scheduling decisions, conflict detection, and schedule optimization. Reduces time spent on manual schedule creation and conflict resolution by intelligently suggesting optimal schedules.",6,Good,10,Excellent,TRUE,FALSE,TRUE,TRUE,25,23
Revenue Impact,"Track upgrades to AI-enabled plans, customer retention improvements, and new customer acquisition attributed to AI features. Monitor revenue increase from AI-enhanced product tiers.",EZ_Facility,EZLeagues AI Enhancement,L4.  Using AI to enhance existing customer-facing products,AI features provide competitive differentiation and customer value. Enables premium pricing for AI-enhanced plans. Improves customer retention through time-saving automation.,6,Good,6,Good,TRUE,FALSE,TRUE,FALSE,20,23
Employee Satisfaction,"Total # of active automations.  We currently have 23 automations in place, with an additional 40 planned for completion by the end of Q2 2026.",EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,"By automating routine processes in Salesforce, we’ll streamline workflows, reduce manual input, and enhance the accuracy and reliability of our data across teams.",3,Poor,4,Fair,FALSE,FALSE,FALSE,FALSE,23,25
Productivity Gains,"Weekly customer proactive touchpoints (emails, calls, and meetings).  Our goal is to raise weekly outreach from an average of 59 to 78 unique accounts, expanding our engagement reach and pipeline potential by the end of April 2026.",EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,"Will reduce the amount of time spent manually researching accounts, identifying specific risks along with professional service and upsell opportunities.  The time saved through automation and AI insights will also drive higher levels of targeted outbound activity.",6,Good,8,Excellent,TRUE,FALSE,TRUE,TRUE,37,37
Cost Savings,Weekly tasks completed.  We currently complete an average of 155 account-related tasks per week and aim to increase that rate to 232 by the end of Q2 2026.,EZ_Facility,Salesforce Einstein & Agent Force,L3.  AI-powered internal business process improvements,"The productivity gains will enable each Account Manager to effectively manage a larger customer base without increasing workload or risk of burnout, ensuring scalable growth and sustained service quality.",5,Fair,10,Excellent,TRUE,FALSE,TRUE,TRUE,29,28
Employee Satisfaction,"Staff Satisfaction surveys will be conducted as we introduce the Agent and train it to work on, first, Low-IP tasks, and provide copilot support to the support representatives. WE CURRENTLY DO NOT HAVE A BASELINE. THIS WILL BE CONDUCTED PRIOR TO GOING LIVE WITH THE AGENT. IMPROVEMENT GOAL TBD.",Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,The solution will enable customer support resources to concentrate their time to work on more complex problems which will driver more job satisfaction.,5,Fair,5,Fair,TRUE,FALSE,FALSE,FALSE,23,49
Productivity Gains,We will track calls / Agent v calls / Rep and we will ask all callers working with the Agent to leave a short feedback note/rating to determine if this improves their perception of the service. Additonally our normal CSAT surveys will continue.,Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,"If the Agent is able to respond quickly and accurately 24x7 to these requests customers should be very happy with this increases speed of response. Additionally, as tickets occur, support staff will have more time to focus on delivering exceptional responses to customers to address their issues.",6,Good,5,Fair,TRUE,FALSE,FALSE,TRUE,47,43
Cost Savings,"Ticket count satisfactorily closed by Agent / Rep will be measures alongside the ticket count / costs to identify if the two are closely correlated. MR to increase from 5.2 to 7 by Q2 2026, equivelent to $<need amount> OPEX saving.",Campsite,AI Customer Support Agent,L3.  AI-powered internal business process improvements,Shifting low-IP tasks to an Agent will allow us to free up skilled representatives to spend more time on customers and tickets that need specialist attention. Our service capacity will grow faster than OPEX and drive improvements to our MR.,6,Good,6,Good,TRUE,FALSE,TRUE,FALSE,40,41
Integration Depth,"% of workflow steps automated, reduction in manual hours, and # of automated workflows deployed.
Target: ≥30% automation in priority processes within 12 months.",Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,"Expands AI use across core workflows to automate manual tasks, increasing efficiency, scalability, and consistency.",0,Very Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,15,24
Process Improvement,"Pre vs. post cycle time, % reduction achieved, and # of processes with ≥20% improvement.
Target: 25–40% cycle time reduction in Year 1.",Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,"Uses AI to streamline processes, reduce hand-offs, and accelerate decision-making, resulting in faster delivery and operational efficiency.",8,Excellent,8,Excellent,TRUE,TRUE,TRUE,TRUE,17,23
Skills Development,"% of employees actively using approved AI tools, training completion rates, and usage frequency.
Target: ≥60% adoption across eligible roles within 12 months.",Campsite,AI Powered QA Automation Tool,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,"Builds AI skills and confidence through training, guided use cases, and hands-on practice to increase workforce adoption.",3,Poor,8,Excellent,FALSE,FALSE,TRUE,TRUE,17,23
Market Differentiation,"Feature activation rate (% of eligible users who begin using this feature).
Target: ≥50% activation within 90 days of launch.",Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,"Delivers a net-new AI capability that does not exist in our product today, enhancing customer value and market positioning.",2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,19,20
Competitive Advantage,"Time required to expand this feature to a new use case.
Target: ≤10 days to deliver the first expansion use case.",Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,"Delivers adaptable AI capabilities that scale to new use cases and functions, strengthening our competitive position.",2,Poor,6,Good,FALSE,FALSE,TRUE,FALSE,16,21
Revenue Impact,"Conversion rate lift attributable to this feature vs. pre-launch baseline.
Target: 10–20% uplift within 6–12 months.",Campsite,Natural Language Dashboards,L5.  Entirely new product capabilities powered by AI,Uses AI-driven insights and recommendations to drive higher-value customer actions and improve business outcomes.,1,Very Poor,10,Excellent,FALSE,FALSE,TRUE,TRUE,14,16
Integration Depth,"% of R&D team actively using Claude Code weekly.
Target: ≥75% weekly active use within 90 days.",Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,Embeds Claude Code into the engineering workflow to increase daily AI-assisted development and code acceleration.,3,Poor,8,Excellent,FALSE,TRUE,TRUE,TRUE,15,17
Process Improvement,"Average time saved per task vs. baseline.
Target: ≥30% reduction in time to complete common dev tasks within 6 months.",Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,"Reduces time spent on coding, debugging, and reviews by using Claude Code to accelerate development tasks.",6,Good,10,Excellent,TRUE,FALSE,TRUE,TRUE,16,20
Skills Development,"Increase in completed story points or tasks per developer.
Target: 15–25% gain in output within 6 months.",Campsite,Claude Code Implementation,L2.  Sophisticated AI tooling for development/operations but generally limited to a single department or workflow,"Improves developer efficiency and output quality through AI-assisted coding, leading to higher productivity per engineer.",3,Poor,8,Excellent,FALSE,TRUE,TRUE,TRUE,15,17
Customer Adoption,"Metric: % of eligible customers who enable/use the feature.
Target: ≥60% within 6 months.",Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,"Automates complex bunk pairing, removing friction and driving customer uptake.",0,Very Poor,6,Good,FALSE,FALSE,TRUE,TRUE,10,14
Usage Metrics,"Metric: Avg. # of AI pairing runs per customer per month.
Target: ≥3 per month per active customer.",Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,"Enables high-volume, repeatable pairing runs through AI automation.",0,Very Poor,5,Fair,FALSE,FALSE,FALSE,TRUE,8,18
Revenue Impact,"ARR attributed to this feature.
Target: $___ ARR within 12 months of launch.",Campsite,Bunk Pairing Engine,L4.  Using AI to enhance existing customer-facing products,Introduces a premium AI-driven feature that expands monetization opportunities and generates new recurring revenue for Campsite.,5,Fair,3,Poor,TRUE,FALSE,FALSE,TRUE,16,13
Employee Satisfaction,"Increase in demos produced per employee.
Target: ≥30% increase within 6 months.",Campsite,Demo Generator,L3.  AI-powered internal business process improvements,"Reduces manual effort and prep time for demo creation, improving workload balance and employee satisfaction.",4,Fair,6,Good,TRUE,FALSE,TRUE,TRUE,15,12
Productivity Gains,"Reduction in time required to create a customized demo.
Target: ≥50% reduction within 3 months of rollout.",Campsite,Demo Generator,L3.  AI-powered internal business process improvements,"Automates demo generation tasks, accelerating turnaround time for custom demos and speeding up sales cycles.",3,Poor,8,Excellent,TRUE,FALSE,TRUE,TRUE,15,17
Cost Savings,"Estimated annual labor cost saved based on hours reduced.
Target: ≥$___ in annual savings.",Campsite,Demo Generator,L3.  AI-powered internal business process improvements,"Cuts labor hours spent building custom demos, reducing personnel and operational costs tied to pre-sales activities.",7,Good,4,Fair,TRUE,TRUE,TRUE,FALSE,16,14
